108.4, 1258, 1, RS, IV
108.5, 2686, 3, LTS, V
108.9, 3453, 4, LTS, V
109, 1231, 1, RS, IV
109.2, 978, 1, RS, VI
109.3, 1208, 1, RS, IV
109.4, 1138, 1, FS, V
109.6, 3446, 4, LTS, V
109.8, 1274, 1, FS, IV
109.8, 2062, 2, LTS, IV
110, 1278, 1, FS, IV
110, 1282, 1, FS, IV
110.1, 1782, 2, LTS, VI
110.2, 3803, 4, LTS, III
110.3, 1269, 1, FS, IV
110.6, 523, 0, FS, IV
110.6, 1276, 1, FS, IV
110.7, 1275, 1, FS, IV
110.9, 1277, 1, FS, IV
111, 1279, 1, FS, IV
111.2, 1267, 1, FS, IV
111.2, 1283, 1, FS, IV
111.3, 1281, 1, FS, IV
111.5, 1270, 1, FS, IV
111.5, 1284, 1, FS, IV
111.9, 1204, 1, RS, IV
112.1, 263, 0, LTS, VI
112.2, 1268, 1, FS, IV
112.2, 1378, 1, RS, III
112.6, 1430, 1, RS, III
112.7, 1274, 1, FS, IV
112.8, 1293, 1, LTS, IV
112.9, 1514, 1, LTS, III
113.1, 1271, 1, FS, IV
113.2, 2705, 3, IB, V
113.4, 1278, 1, FS, IV
113.4, 3572, 4, LTS, IV
113.5, 1414, 1, RS, III
113.6, 1275, 1, FS, IV
113.6, 1305, 1, LTS, IV
113.6, 1369, 1, RS, III
113.7, 1469, 1, RS, III
113.8, 1273, 1, FS, IV
113.8, 1276, 1, FS, IV
113.8, 1423, 1, RS, III
113.8, 1451, 1, RS, III
113.8, 3037, 3, LTS, III
114.2, 1470, 1, RS, III
114.3, 1463, 1, RS, III
114.4, 1468, 1, RS, III
114.4, 2688, 3, LTS, V
114.4, 3302, 4, LTS, VI
114.5, 1340, 1, RS, III
114.7, 1383, 1, RS, III
114.9, 1338, 1, RS, III
114.9, 2807, 3, LTS, IV
114.9, 3577, 4, LTS, IV
115.2, 1467, 1, RS, III
115.3, 1395, 1, RS, III
115.3, 1461, 1, RS, III
115.4, 759, 0, LTS, III
115.7, 1788, 2, LTS, VI
115.9, 1370, 1, RS, III
116, 3041, 3, LTS, III
116.2, 1361, 1, RS, III
116.3, 401, 0, LTS, V
116.3, 1464, 1, RS, III
116.3, 1521, 1, LTS, III
116.7, 1429, 1, RS, III
116.7, 1460, 1, RS, III
116.8, 1336, 1, RS, III
116.8, 3443, 4, LTS, V
116.9, 1319, 1, RS, III
117, 1367, 1, RS, III
117, 1384, 1, RS, III
117.2, 1512, 1, LTS, III
117.3, 1411, 1, RS, III
117.4, 1355, 1, RS, III
117.6, 1029, 1, LTS, VI
117.6, 1351, 1, RS, III
117.6, 1390, 1, RS, III
117.6, 1446, 1, RS, III
117.7, 2820, 3, LTS, IV
117.7, 3586, 4, LTS, IV
117.9, 2545, 3, LTS, VI
118, 1433, 1, RS, III
118.1, 755, 0, LTS, III
118.3, 1317, 1, RS, III
118.5, 1309, 1, RS, III
118.5, 1311, 1, RS, III
118.5, 2276, 2, LTS, III
118.7, 1371, 1, RS, III
118.7, 1435, 1, RS, III
118.8, 1348, 1, RS, III
118.8, 1349, 1, RS, III
118.9, 1389, 1, RS, III
119, 1353, 1, RS, III
119, 1447, 1, RS, III
119.2, 1372, 1, RS, III
119.3, 1416, 1, RS, III
119.5, 1166, 1, LTS, V
119.7, 1186, 1, IB, V
119.8, 1478, 1, FS, III
119.9, 1377, 1, RS, III
119.9, 3447, 4, LTS, V
119.9, 3801, 4, LTS, III
120, 1321, 1, RS, III
120, 2047, 2, LTS, IV
120.1, 1105, 1, RS, V
120.1, 3802, 4, LTS, III
120.2, 1407, 1, RS, III
120.3, 1432, 1, RS, III
120.3, 2816, 3, LTS, IV
120.4, 3309, 4, LTS, VI
120.5, 2541, 3, LTS, VI
120.6, 1394, 1, RS, III
120.6, 1444, 1, RS, III
120.7, 1099, 1, RS, V
120.8, 1084, 1, RS, V
120.8, 1094, 1, RS, V
120.8, 1501, 1, FS, III
121.1, 1080, 1, RS, V
121.2, 1057, 1, RS, V
121.3, 1082, 1, RS, V
121.3, 1110, 1, RS, V
121.3, 1113, 1, RS, V
121.3, 1475, 1, FS, III
121.4, 1396, 1, RS, III
121.4, 1453, 1, RS, III
121.4, 1466, 1, RS, III
121.5, 1036, 1, RS, V
121.5, 1044, 1, RS, V
121.5, 1091, 1, RS, V
121.5, 1173, 1, IB, V
121.5, 1182, 1, IB, V
121.5, 1929, 2, LTS, V
121.6, 1037, 1, RS, V
121.6, 1077, 1, RS, V
121.6, 1098, 1, RS, V
121.6, 1191, 1, IB, V
121.6, 1373, 1, RS, III
121.7, 1047, 1, RS, V
121.7, 1065, 1, RS, V
121.7, 1187, 1, IB, V
121.7, 1437, 1, RS, III
121.8, 1056, 1, RS, V
121.8, 1171, 1, IB, V
121.9, 1038, 1, RS, V
121.9, 1048, 1, RS, V
121.9, 1060, 1, RS, V
121.9, 1076, 1, RS, V
121.9, 2685, 3, LTS, V
121.9, 3450, 4, LTS, V
122, 1055, 1, RS, V
122, 1067, 1, RS, V
122, 1069, 1, RS, V
122, 1329, 1, RS, III
122, 1333, 1, RS, III
122.1, 1089, 1, RS, V
122.1, 1174, 1, IB, V
122.1, 1181, 1, IB, V
122.1, 1417, 1, RS, III
122.1, 1927, 2, LTS, V
122.2, 1058, 1, RS, V
122.2, 1184, 1, IB, V
122.3, 1176, 1, IB, V
122.3, 1183, 1, IB, V
122.4, 1072, 1, RS, V
122.4, 1393, 1, RS, III
122.4, 3578, 4, LTS, IV
122.5, 1046, 1, RS, V
122.5, 1052, 1, RS, V
122.5, 1073, 1, RS, V
122.5, 1180, 1, IB, V
122.6, 1042, 1, RS, V
122.6, 1086, 1, RS, V
122.6, 1350, 1, RS, III
122.6, 1374, 1, RS, III
122.6, 1438, 1, RS, III
122.6, 1490, 1, FS, III
122.7, 1064, 1, RS, V
122.7, 1102, 1, RS, V
122.7, 1106, 1, RS, V
122.7, 1436, 1, RS, III
122.7, 1485, 1, FS, III
122.7, 1518, 1, LTS, III
122.8, 1090, 1, RS, V
122.8, 1188, 1, IB, V
122.8, 1192, 1, IB, V
122.8, 1364, 1, RS, III
122.9, 1039, 1, RS, V
122.9, 1087, 1, RS, V
122.9, 1097, 1, RS, V
122.9, 1179, 1, IB, V
122.9, 1359, 1, RS, III
122.9, 1502, 1, FS, III
123, 1049, 1, RS, V
123, 1078, 1, RS, V
123, 1175, 1, IB, V
123, 1189, 1, IB, V
123, 2828, 3, LTS, IV
123.1, 1186, 1, IB, V
123.1, 1497, 1, FS, III
123.1, 2680, 3, LTS, V
123.2, 1328, 1, RS, III
123.3, 1045, 1, RS, V
123.3, 1053, 1, RS, V
123.3, 1312, 1, RS, III
123.4, 1043, 1, RS, V
123.4, 1070, 1, RS, V
123.4, 1172, 1, IB, V
123.5, 1035, 1, RS, V
123.5, 1040, 1, RS, V
123.5, 1054, 1, RS, V
123.5, 1061, 1, RS, V
123.5, 1071, 1, RS, V
123.5, 1104, 1, RS, V
123.5, 1107, 1, RS, V
123.5, 1111, 1, RS, V
123.5, 1360, 1, RS, III
123.6, 1096, 1, RS, V
123.6, 1504, 1, FS, III
123.7, 988, 1, RS, VI
123.7, 1033, 1, RS, V
123.7, 1059, 1, RS, V
123.7, 1399, 1, RS, III
123.8, 1066, 1, RS, V
123.8, 1088, 1, RS, V
123.8, 1101, 1, RS, V
123.8, 1108, 1, RS, V
123.8, 1434, 1, RS, III
123.9, 1079, 1, RS, V
123.9, 1488, 1, FS, III
123.9, 1507, 1, FS, III
124, 1083, 1, RS, V
124, 1085, 1, RS, V
124, 1103, 1, RS, V
124, 1406, 1, RS, III
124, 1415, 1, RS, III
124.1, 1462, 1, RS, III
124.1, 2824, 3, LTS, IV
124.2, 1379, 1, RS, III
124.2, 1449, 1, RS, III
124.2, 3307, 4, LTS, VI
124.3, 1062, 1, RS, V
124.3, 1177, 1, IB, V
124.3, 1428, 1, RS, III
124.3, 1481, 1, FS, III
124.4, 1092, 1, RS, V
124.4, 1337, 1, RS, III
124.4, 1445, 1, RS, III
124.4, 1480, 1, FS, III
124.5, 1124, 1, FS, V
124.5, 1473, 1, FS, III
124.6, 1100, 1, RS, V
124.6, 1310, 1, RS, III
124.6, 2826, 3, LTS, IV
124.7, 1074, 1, RS, V
124.7, 1145, 1, FS, V
124.7, 1149, 1, FS, V
124.7, 1178, 1, IB, V
124.7, 1503, 1, FS, III
124.7, 3301, 4, LTS, VI
124.8, 1117, 1, FS, V
124.8, 1141, 1, FS, V
124.8, 1142, 1, FS, V
124.9, 1018, 1, LTS, VI
124.9, 1020, 1, LTS, VI
124.9, 1034, 1, RS, V
124.9, 1075, 1, RS, V
124.9, 1114, 1, FS, V
124.9, 1131, 1, FS, V
124.9, 1173, 1, IB, V
124.9, 1182, 1, IB, V
125, 1115, 1, FS, V
125, 1120, 1, FS, V
125, 1123, 1, FS, V
125, 1127, 1, FS, V
125, 1130, 1, FS, V
125, 1136, 1, FS, V
125, 1147, 1, FS, V
125, 1153, 1, FS, V
125, 1191, 1, IB, V
125, 1441, 1, RS, III
125.1, 1068, 1, RS, V
125.1, 1095, 1, RS, V
125.1, 1116, 1, FS, V
125.1, 1118, 1, FS, V
125.1, 1125, 1, FS, V
125.1, 1139, 1, FS, V
125.1, 1150, 1, FS, V
125.1, 1185, 1, IB, V
125.1, 1187, 1, IB, V
125.1, 2263, 2, FS, III
125.2, 1119, 1, FS, V
125.2, 1121, 1, FS, V
125.2, 1132, 1, FS, V
125.2, 1133, 1, FS, V
125.2, 1134, 1, FS, V
125.2, 1143, 1, FS, V
125.2, 1151, 1, FS, V
125.2, 1171, 1, IB, V
125.2, 1358, 1, RS, III
125.2, 1425, 1, RS, III
125.2, 3587, 4, LTS, IV
125.3, 1122, 1, FS, V
125.3, 1128, 1, FS, V
125.3, 1135, 1, FS, V
125.3, 1137, 1, FS, V
125.3, 1144, 1, FS, V
