112.4, 2805, 3, FS, IV
112.4, 2807, 3, FS, IV
112.5, 549, 0, RS, III
112.5, 1107, 1, RS, V
112.5, 1171, 1, IB, V
112.5, 1494, 1, FS, III
112.6, 1067, 1, RS, V
112.6, 1477, 1, FS, III
112.6, 1495, 1, FS, III
112.7, 534, 0, LTS, IV
112.7, 728, 0, FS, III
112.7, 1073, 1, RS, V
112.7, 1074, 1, RS, V
112.7, 1088, 1, RS, V
112.7, 1106, 1, RS, V
112.7, 1178, 1, IB, V
112.7, 1190, 1, IB, V
112.7, 1249, 1, RS, IV
112.7, 1489, 1, FS, III
112.8, 546, 0, RS, III
112.8, 719, 0, FS, III
112.8, 1055, 1, RS, V
112.8, 1092, 1, RS, V
112.8, 1180, 1, IB, V
112.8, 1225, 1, RS, IV
112.8, 1490, 1, FS, III
112.8, 2803, 3, FS, IV
112.9, 722, 0, FS, III
112.9, 723, 0, FS, III
112.9, 1076, 1, RS, V
112.9, 1168, 1, IB, V
112.9, 1184, 1, IB, V
112.9, 1226, 1, RS, IV
112.9, 1237, 1, RS, IV
112.9, 2810, 3, FS, IV
113, 1037, 1, RS, V
113, 1042, 1, RS, V
113, 1049, 1, RS, V
113, 1057, 1, RS, V
113, 1102, 1, RS, V
113, 1165, 1, IB, V
113, 1187, 1, IB, V
113, 1251, 1, RS, IV
113, 1304, 1, LTS, IV
113, 2245, 2, FS, III
113, 2801, 3, FS, IV
113.1, 658, 0, RS, III
113.1, 726, 0, FS, III
113.1, 729, 0, FS, III
113.1, 733, 0, FS, III
113.1, 737, 0, FS, III
113.1, 740, 0, FS, III
113.1, 1036, 1, RS, V
113.1, 1053, 1, RS, V
113.1, 1071, 1, RS, V
113.1, 1095, 1, RS, V
113.1, 1111, 1, RS, V
113.1, 1293, 1, LTS, IV
113.1, 1488, 1, FS, III
113.1, 1497, 1, FS, III
113.1, 2254, 2, FS, III
113.2, 692, 0, RS, III
113.2, 716, 0, FS, III
113.2, 1051, 1, RS, V
113.2, 1065, 1, RS, V
113.2, 1087, 1, RS, V
113.2, 1097, 1, RS, V
113.2, 1166, 1, IB, V
113.2, 1182, 1, IB, V
113.2, 1188, 1, IB, V
113.2, 2242, 2, FS, III
113.2, 2248, 2, FS, III
113.3, 715, 0, FS, III
113.3, 725, 0, FS, III
113.3, 731, 0, FS, III
113.3, 738, 0, FS, III
113.3, 739, 0, FS, III
113.3, 1050, 1, RS, V
113.3, 1169, 1, IB, V
113.3, 1223, 1, RS, IV
113.3, 1496, 1, FS, III
113.3, 2252, 2, FS, III
113.3, 2262, 2, FS, III
113.3, 2806, 3, FS, IV
113.3, 2808, 3, FS, IV
113.3, 2812, 3, FS, IV
113.4, 734, 0, FS, III
113.4, 736, 0, FS, III
113.4, 742, 0, FS, III
113.4, 1038, 1, RS, V
113.4, 1043, 1, RS, V
113.4, 1068, 1, RS, V
113.4, 1070, 1, RS, V
113.4, 1082, 1, RS, V
113.4, 1083, 1, RS, V
113.4, 1084, 1, RS, V
113.4, 1101, 1, RS, V
113.4, 1162, 1, IB, V
113.4, 1163, 1, IB, V
113.4, 1179, 1, IB, V
113.4, 1287, 1, FS, IV
113.4, 2204, 2, RS, III
113.4, 2244, 2, FS, III
113.4, 2246, 2, FS, III
113.4, 2255, 2, FS, III
113.4, 2264, 2, FS, III
113.4, 2809, 3, FS, IV
113.5, 674, 0, RS, III
113.5, 717, 0, FS, III
113.5, 720, 0, FS, III
113.5, 1056, 1, RS, V
113.5, 1059, 1, RS, V
113.5, 1062, 1, RS, V
113.5, 1066, 1, RS, V
113.5, 1094, 1, RS, V
113.5, 1280, 1, FS, IV
113.5, 1491, 1, FS, III
113.5, 2154, 2, RS, III
113.5, 2239, 2, FS, III
113.5, 2247, 2, FS, III
113.5, 2251, 2, FS, III
113.5, 2258, 2, FS, III
113.6, 724, 0, FS, III
113.6, 732, 0, FS, III
113.6, 1033, 1, RS, V
113.6, 1046, 1, RS, V
113.6, 1058, 1, RS, V
113.6, 1063, 1, RS, V
113.6, 1069, 1, RS, V
113.6, 1078, 1, RS, V
113.6, 1085, 1, RS, V
113.6, 1096, 1, RS, V
113.6, 1105, 1, RS, V
113.6, 1167, 1, IB, V
113.6, 1176, 1, IB, V
113.6, 1296, 1, LTS, IV
113.6, 1498, 1, FS, III
113.6, 2101, 2, RS, III
113.6, 2237, 2, FS, III
113.6, 2238, 2, FS, III
113.6, 2250, 2, FS, III
113.7, 1041, 1, RS, V
113.7, 1048, 1, RS, V
113.7, 1052, 1, RS, V
113.7, 1072, 1, RS, V
113.7, 1075, 1, RS, V
113.7, 1080, 1, RS, V
113.7, 1090, 1, RS, V
113.7, 1099, 1, RS, V
113.7, 1100, 1, RS, V
113.7, 1108, 1, RS, V
113.7, 1183, 1, IB, V
113.7, 1191, 1, IB, V
113.7, 1297, 1, LTS, IV
113.7, 1499, 1, FS, III
113.8, 741, 0, FS, III
113.8, 1034, 1, RS, V
113.8, 1035, 1, RS, V
113.8, 1172, 1, IB, V
113.8, 1192, 1, IB, V
113.8, 1481, 1, FS, III
113.8, 2256, 2, FS, III
113.8, 2259, 2, FS, III
113.9, 527, 0, FS, IV
113.9, 531, 0, FS, IV
113.9, 730, 0, FS, III
113.9, 1109, 1, RS, V
113.9, 1110, 1, RS, V
113.9, 1186, 1, IB, V
113.9, 1302, 1, LTS, IV
113.9, 1305, 1, LTS, IV
113.9, 1501, 1, FS, III
113.9, 2241, 2, FS, III
113.9, 2261, 2, FS, III
114, 570, 0, RS, III
114, 708, 0, RS, III
114, 721, 0, FS, III
114, 735, 0, FS, III
114, 1047, 1, RS, V
114, 1079, 1, RS, V
114, 1089, 1, RS, V
114, 1185, 1, IB, V
114, 1189, 1, IB, V
114, 1288, 1, FS, IV
114, 1294, 1, LTS, IV
114, 1478, 1, FS, III
114, 1493, 1, FS, III
114, 2042, 2, FS, IV
114, 2240, 2, FS, III
114, 2243, 2, FS, III
114, 2260, 2, FS, III
114.1, 519, 0, FS, IV
114.1, 604, 0, RS, III
114.1, 727, 0, FS, III
114.1, 1045, 1, RS, V
114.1, 1060, 1, RS, V
114.1, 1061, 1, RS, V
114.1, 1086, 1, RS, V
114.1, 1103, 1, RS, V
114.1, 1114, 1, RS, V
114.1, 1173, 1, IB, V
114.1, 1174, 1, IB, V
114.1, 1177, 1, IB, V
114.1, 1286, 1, FS, IV
114.1, 2176, 2, RS, III
114.1, 2257, 2, FS, III
114.1, 2263, 2, FS, III
114.2, 520, 0, FS, IV
114.2, 1181, 1, IB, V
114.2, 1281, 1, FS, IV
114.3, 600, 0, RS, III
114.3, 677, 0, RS, III
114.3, 707, 0, RS, III
114.3, 1040, 1, RS, V
114.3, 1044, 1, RS, V
114.3, 1054, 1, RS, V
114.3, 1093, 1, RS, V
114.3, 1104, 1, RS, V
114.3, 1112, 1, RS, V
114.3, 2209, 2, RS, III
114.4, 597, 0, RS, III
114.4, 690, 0, RS, III
114.4, 711, 0, RS, III
114.4, 1113, 1, RS, V
114.4, 1299, 1, LTS, IV
114.4, 1300, 1, LTS, IV
114.4, 2103, 2, RS, III
114.4, 2804, 3, FS, IV
114.5, 542, 0, LTS, IV
114.5, 576, 0, RS, III
114.5, 1064, 1, RS, V
114.5, 1290, 1, FS, IV
114.5, 2179, 2, RS, III
114.5, 2253, 2, FS, III
114.6, 638, 0, RS, III
114.6, 718, 0, FS, III
114.6, 1502, 1, FS, III
114.6, 2228, 2, RS, III
114.6, 2249, 2, FS, III
114.7, 1500, 1, FS, III
114.8, 565, 0, RS, III
114.8, 567, 0, RS, III
114.8, 1091, 1, RS, V
114.8, 1458, 1, RS, III
114.8, 3302, 4, LTS, VI
114.9, 523, 0, FS, IV
114.9, 594, 0, RS, III
114.9, 673, 0, RS, III
114.9, 700, 0, RS, III
114.9, 1283, 1, FS, IV
114.9, 1291, 1, FS, IV
114.9, 1306, 1, LTS, IV
114.9, 1396, 1, RS, III
114.9, 1459, 1, RS, III
