271.9, 1179, 1, IB, V
271.9, 1898, 2, FS, V
271.9, 2644, 3, FS, V
271.9, 2686, 3, IB, V
271.9, 2687, 3, IB, V
271.9, 2707, 3, IB, V
272, 1145, 1, FS, V
272, 1797, 2, RS, V
272, 1887, 2, FS, V
272, 1949, 2, IB, V
272, 2685, 3, IB, V
272, 2705, 3, IB, V
272, 2709, 3, IB, V
272.1, 1844, 2, RS, V
272.1, 1890, 2, FS, V
272.1, 3408, 4, FS, V
272.2, 369, 0, FS, V
272.2, 414, 0, IB, V
272.2, 419, 0, IB, V
272.2, 1046, 1, RS, V
272.2, 1088, 1, RS, V
272.2, 1140, 1, FS, V
272.2, 3376, 4, RS, V
272.2, 3429, 4, FS, V
272.3, 1037, 1, RS, V
272.3, 1171, 1, IB, V
272.3, 1885, 2, FS, V
272.3, 1922, 2, IB, V
272.3, 3405, 4, FS, V
272.4, 1166, 1, IB, V
272.4, 1863, 2, RS, V
272.4, 2688, 3, IB, V
272.4, 3425, 4, FS, V
272.5, 401, 0, IB, V
272.5, 1098, 1, RS, V
272.5, 1883, 2, FS, V
272.5, 1935, 2, IB, V
272.5, 2592, 3, RS, V
272.5, 2692, 3, IB, V
272.5, 3339, 4, RS, V
272.5, 3469, 4, IB, V
272.6, 428, 0, IB, V
272.6, 2645, 3, FS, V
272.6, 2702, 3, IB, V
272.6, 3394, 4, RS, V
272.6, 3411, 4, FS, V
