6.3, 2454, 3, RS, VI
6.3, 2455, 3, RS, VI
6.3, 2456, 3, RS, VI
6.3, 2462, 3, RS, VI
6.3, 2463, 3, RS, VI
6.3, 2464, 3, RS, VI
6.3, 2466, 3, RS, VI
6.3, 2468, 3, RS, VI
6.3, 2469, 3, RS, VI
6.3, 2470, 3, RS, VI
6.3, 2472, 3, RS, VI
6.3, 2473, 3, RS, VI
6.3, 2474, 3, RS, VI
6.3, 2477, 3, RS, VI
6.3, 2478, 3, RS, VI
6.3, 2479, 3, RS, VI
6.3, 2480, 3, RS, VI
6.3, 2482, 3, RS, VI
6.3, 2483, 3, RS, VI
6.3, 2484, 3, RS, VI
6.3, 2485, 3, RS, VI
6.3, 2486, 3, RS, VI
6.3, 2487, 3, RS, VI
6.3, 2488, 3, RS, VI
6.3, 2490, 3, RS, VI
6.3, 2492, 3, RS, VI
6.3, 2494, 3, RS, VI
6.3, 2495, 3, RS, VI
6.3, 2496, 3, RS, VI
6.3, 2497, 3, RS, VI
6.3, 2498, 3, RS, VI
6.3, 2500, 3, RS, VI
6.3, 2502, 3, RS, VI
6.3, 2503, 3, RS, VI
6.3, 2505, 3, RS, VI
6.3, 2507, 3, RS, VI
6.3, 2509, 3, RS, VI
6.3, 2511, 3, RS, VI
6.3, 2512, 3, RS, VI
6.3, 2514, 3, RS, VI
6.3, 2515, 3, RS, VI
6.3, 2516, 3, RS, VI
6.3, 2518, 3, RS, VI
6.3, 2540, 3, FS, VI
6.3, 2562, 3, RS, V
6.3, 2572, 3, RS, V
6.3, 2604, 3, RS, V
6.3, 2866, 3, RS, III
6.3, 2889, 3, RS, III
6.3, 2926, 3, RS, III
6.3, 3044, 4, RS, VI
6.3, 3045, 4, RS, VI
6.3, 3048, 4, RS, VI
6.3, 3050, 4, RS, VI
6.3, 3051, 4, RS, VI
6.3, 3052, 4, RS, VI
6.3, 3055, 4, RS, VI
6.3, 3056, 4, RS, VI
6.3, 3057, 4, RS, VI
