126.8, 690, 0, RS, III
126.8, 753, 0, LTS, III
126.8, 760, 0, LTS, III
126.8, 1115, 1, FS, V
126.8, 1138, 1, FS, V
126.9, 370, 0, FS, V
126.9, 375, 0, FS, V
126.9, 416, 0, IB, V
126.9, 525, 0, FS, IV
126.9, 536, 0, LTS, IV
126.9, 629, 0, RS, III
126.9, 730, 0, FS, III
126.9, 1118, 1, FS, V
126.9, 1140, 1, FS, V
126.9, 1646, 2, RS, VI
127, 423, 0, IB, V
127, 665, 0, RS, III
127, 756, 0, LTS, III
127.1, 361, 0, FS, V
127.1, 401, 0, IB, V
127.1, 425, 0, IB, V
127.1, 520, 0, FS, IV
127.1, 624, 0, RS, III
127.1, 713, 0, RS, III
127.1, 724, 0, FS, III
127.2, 355, 0, FS, V
127.2, 356, 0, FS, V
127.2, 378, 0, FS, V
127.2, 522, 0, FS, IV
127.2, 579, 0, RS, III
127.2, 606, 0, RS, III
127.2, 608, 0, RS, III
127.2, 655, 0, RS, III
127.2, 657, 0, RS, III
127.2, 705, 0, RS, III
127.2, 739, 0, FS, III
127.3, 365, 0, FS, V
127.3, 366, 0, FS, V
127.3, 371, 0, FS, V
127.3, 376, 0, FS, V
127.3, 527, 0, FS, IV
127.3, 529, 0, FS, IV
127.3, 531, 0, FS, IV
127.3, 580, 0, RS, III
127.3, 663, 0, RS, III
127.3, 666, 0, RS, III
127.4, 299, 0, RS, V
127.4, 362, 0, FS, V
127.4, 368, 0, FS, V
127.4, 372, 0, FS, V
127.4, 377, 0, FS, V
127.4, 384, 0, FS, V
127.4, 547, 0, RS, III
127.4, 626, 0, RS, III
127.4, 649, 0, RS, III
127.4, 656, 0, RS, III
127.4, 706, 0, RS, III
127.4, 716, 0, FS, III
127.5, 303, 0, RS, V
127.5, 357, 0, FS, V
127.5, 359, 0, FS, V
127.5, 364, 0, FS, V
127.5, 379, 0, FS, V
127.5, 380, 0, FS, V
127.5, 385, 0, FS, V
127.5, 410, 0, IB, V
127.5, 523, 0, FS, IV
127.5, 594, 0, RS, III
127.5, 709, 0, RS, III
127.5, 729, 0, FS, III
127.6, 369, 0, FS, V
127.6, 373, 0, FS, V
127.6, 374, 0, FS, V
127.6, 381, 0, FS, V
127.6, 383, 0, FS, V
127.6, 518, 0, FS, IV
127.6, 528, 0, FS, IV
127.6, 563, 0, RS, III
127.6, 566, 0, RS, III
127.6, 610, 0, RS, III
127.6, 652, 0, RS, III
127.6, 719, 0, FS, III
127.6, 737, 0, FS, III
127.7, 314, 0, RS, V
127.7, 354, 0, FS, V
127.7, 358, 0, FS, V
127.7, 360, 0, FS, V
127.7, 363, 0, FS, V
127.7, 382, 0, FS, V
127.7, 413, 0, IB, V
127.7, 519, 0, FS, IV
127.7, 550, 0, RS, III
