118.6, 2051, 2, FS, IV
118.7, 1193, 1, RS, IV
118.7, 1221, 1, RS, IV
118.7, 1306, 1, LTS, IV
118.8, 1224, 1, RS, IV
118.8, 1301, 1, LTS, IV
119.1, 1116, 1, RS, V
119.1, 1282, 1, RS, IV
119.1, 1300, 1, LTS, IV
119.2, 1271, 1, RS, IV
119.3, 801, 1, RS, VI
119.4, 531, 0, FS, IV
119.5, 1047, 1, RS, V
119.6, 1038, 1, RS, V
119.7, 1303, 1, LTS, IV
120.1, 1054, 1, RS, V
120.1, 1198, 1, RS, IV
120.2, 1119, 1, RS, V
120.2, 1191, 1, IB, V
120.2, 1305, 1, LTS, IV
120.3, 1299, 1, LTS, IV
120.4, 1203, 1, RS, IV
120.4, 1304, 1, LTS, IV
121, 1219, 1, RS, IV
121.6, 1034, 1, RS, V
121.6, 1095, 1, RS, V
121.9, 1112, 1, RS, V
121.9, 1176, 1, IB, V
122.7, 1083, 1, RS, V
123, 1178, 1, IB, V
123.1, 1298, 1, LTS, IV
123.2, 929, 1, RS, VI
123.2, 1043, 1, RS, V
123.4, 1171, 1, IB, V
123.4, 1297, 1, LTS, IV
123.6, 1227, 1, RS, IV
123.6, 1301, 1, LTS, IV
123.9, 1085, 1, RS, V
123.9, 1099, 1, RS, V
123.9, 1114, 1, RS, V
123.9, 1300, 1, LTS, IV
124.3, 1251, 1, RS, IV
124.5, 774, 1, RS, VI
124.5, 1196, 1, RS, IV
124.5, 1215, 1, RS, IV
124.5, 1223, 1, RS, IV
124.5, 1303, 1, LTS, IV
124.6, 1035, 1, RS, V
124.8, 1063, 1, RS, V
124.8, 1277, 1, RS, IV
124.9, 1056, 1, RS, V
124.9, 1066, 1, RS, V
125, 1221, 1, RS, IV
125, 1305, 1, LTS, IV
125.1, 1184, 1, IB, V
125.2, 1304, 1, LTS, IV
125.3, 1062, 1, RS, V
125.3, 1176, 1, IB, V
125.4, 1057, 1, RS, V
125.6, 1033, 1, RS, V
125.8, 1183, 1, IB, V
125.9, 1167, 1, IB, V
126, 1087, 1, RS, V
126, 1104, 1, RS, V
126, 1306, 1, LTS, IV
126.1, 898, 1, RS, VI
126.2, 873, 1, RS, VI
126.3, 818, 1, RS, VI
126.3, 1097, 1, RS, V
126.3, 1174, 1, IB, V
126.4, 1041, 1, RS, V
126.5, 1110, 1, RS, V
127.1, 1178, 1, IB, V
127.1, 1179, 1, IB, V
127.2, 1067, 1, RS, V
127.5, 1181, 1, IB, V
127.6, 380, 0, FS, V
127.7, 1169, 1, IB, V
127.8, 1052, 1, RS, V
127.8, 1779, 2, LTS, VI
127.9, 1298, 1, LTS, IV
128, 1055, 1, RS, V
128, 1084, 1, RS, V
128, 1120, 1, RS, V
128.1, 776, 1, RS, VI
128.1, 787, 1, RS, VI
128.1, 1081, 1, RS, V
128.2, 1177, 1, IB, V
128.2, 1297, 1, LTS, IV
128.4, 377, 0, FS, V
128.4, 1061, 1, RS, V
128.4, 1077, 1, RS, V
128.4, 1170, 1, IB, V
128.4, 1301, 1, LTS, IV
128.5, 391, 0, FS, V
128.5, 1908, 2, FS, V
128.6, 1074, 1, RS, V
128.6, 1086, 1, RS, V
128.6, 1135, 1, FS, V
128.7, 1111, 1, RS, V
128.7, 1175, 1, IB, V
128.7, 1180, 1, IB, V
128.7, 1300, 1, LTS, IV
128.8, 378, 0, FS, V
128.8, 1109, 1, RS, V
128.8, 1187, 1, IB, V
128.9, 364, 0, FS, V
128.9, 1129, 1, FS, V
128.9, 1145, 1, FS, V
128.9, 1883, 2, FS, V
129, 368, 0, FS, V
129, 1190, 1, IB, V
129, 1895, 2, FS, V
129, 1902, 2, FS, V
129.1, 390, 0, FS, V
129.1, 1134, 1, FS, V
129.1, 1907, 2, FS, V
129.1, 1911, 2, FS, V
129.2, 1151, 1, FS, V
129.2, 1899, 2, FS, V
129.3, 384, 0, FS, V
129.3, 1146, 1, FS, V
129.3, 1176, 1, IB, V
129.3, 1303, 1, LTS, IV
129.3, 1898, 2, FS, V
129.4, 1136, 1, FS, V
129.4, 1892, 2, FS, V
129.4, 1894, 2, FS, V
