305.5, 1249, 1, RS, IV
306.2, 2062, 2, LTS, IV
306.7, 1272, 1, FS, IV
307.2, 2746, 3, RS, IV
307.9, 525, 0, FS, IV
308.2, 1295, 1, FS, IV
308.6, 2723, 3, RS, IV
309, 2042, 2, FS, IV
309.6, 1286, 1, FS, IV
309.8, 1294, 1, FS, IV
310, 499, 0, RS, IV
310.3, 1270, 1, FS, IV
310.4, 2816, 3, FS, IV
310.4, 2820, 3, LTS, IV
310.5, 2737, 3, RS, IV
311.4, 1285, 1, FS, IV
311.5, 1277, 1, FS, IV
311.8, 1275, 1, FS, IV
311.9, 1276, 1, FS, IV
311.9, 2039, 2, FS, IV
312.3, 459, 0, RS, IV
313, 1195, 1, RS, IV
314.2, 1278, 1, FS, IV
314.3, 2813, 3, FS, IV
314.6, 541, 0, LTS, IV
314.7, 1208, 1, RS, IV
314.7, 1256, 1, RS, IV
315.4, 2755, 3, RS, IV
315.8, 527, 0, FS, IV
316.4, 2037, 2, FS, IV
316.9, 2798, 3, FS, IV
317.3, 2793, 3, FS, IV
317.9, 2049, 2, FS, IV
318, 2819, 3, LTS, IV
318.9, 441, 0, RS, IV
321.1, 1233, 1, RS, IV
321.2, 3575, 4, FS, IV
322, 3571, 4, FS, IV
322.2, 1988, 2, RS, IV
323.5, 2828, 3, LTS, IV
324.7, 515, 0, FS, IV
325.6, 504, 0, RS, IV
327.3, 536, 0, LTS, IV
329.1, 3583, 4, LTS, IV
330.4, 481, 0, RS, IV
330.9, 493, 0, RS, IV
331.7, 456, 0, RS, IV
332.6, 1284, 1, FS, IV
337.8, 543, 0, LTS, IV
340.2, 537, 0, LTS, IV
343.1, 1964, 2, RS, IV
344.2, 3524, 4, RS, IV
346, 540, 0, LTS, IV
346.3, 474, 0, RS, IV
346.8, 3538, 4, RS, IV
348.9, 2029, 2, RS, IV
350.6, 454, 0, RS, IV
352.1, 2046, 2, FS, IV
352.5, 535, 0, LTS, IV
352.5, 3568, 4, FS, IV
356, 3577, 4, FS, IV
356.5, 2058, 2, LTS, IV
356.7, 2061, 2, LTS, IV
356.9, 2038, 2, FS, IV
360.3, 1957, 2, RS, IV
361.2, 3507, 4, RS, IV
361.9, 539, 0, LTS, IV
362.1, 2733, 3, RS, IV
362.5, 3545, 4, RS, IV
362.6, 545, 0, LTS, IV
362.6, 3534, 4, RS, IV
363.7, 3491, 4, RS, IV
367.2, 2804, 3, FS, IV
367.8, 3581, 4, LTS, IV
368.6, 3578, 4, FS, IV
368.8, 2814, 3, FS, IV
369.4, 2007, 2, RS, IV
370.3, 3481, 4, RS, IV
371.2, 538, 0, LTS, IV
371.2, 3553, 4, FS, IV
371.9, 2059, 2, LTS, IV
372.1, 2802, 3, FS, IV
372.4, 3527, 4, RS, IV
372.8, 3583, 4, LTS, IV
374.6, 3502, 4, RS, IV
374.7, 2821, 3, LTS, IV
375.8, 2747, 3, RS, IV
377.5, 3542, 4, RS, IV
379, 3589, 4, LTS, IV
380.4, 2064, 2, LTS, IV
380.8, 3515, 4, RS, IV
381.4, 3587, 4, LTS, IV
383.2, 3585, 4, LTS, IV
