145.9, 1120, 1, FS, V
145.9, 2608, 3, RS, V
145.9, 2667, 3, FS, V
145.9, 2946, 3, RS, III
145.9, 3031, 3, FS, III
146, 380, 0, FS, V
146, 382, 0, FS, V
146, 409, 0, IB, V
146, 410, 0, IB, V
146, 1179, 1, IB, V
146, 1872, 2, FS, V
146, 1906, 2, FS, V
146, 2609, 3, RS, V
146, 3418, 4, FS, V
146.1, 275, 0, RS, V
146.1, 1122, 1, FS, V
146.1, 1882, 2, FS, V
146.1, 1902, 2, FS, V
146.1, 2558, 3, RS, V
146.1, 2648, 3, FS, V
146.2, 318, 0, RS, V
146.2, 383, 0, FS, V
146.2, 547, 0, RS, III
146.2, 1883, 2, FS, V
146.2, 1891, 2, FS, V
146.2, 2906, 3, RS, III
146.2, 2921, 3, RS, III
146.3, 278, 0, RS, V
146.3, 371, 0, FS, V
146.3, 583, 0, RS, III
146.3, 1116, 1, FS, V
146.3, 1135, 1, FS, V
146.3, 2634, 3, FS, V
146.3, 3016, 3, FS, III
146.4, 353, 0, FS, V
146.4, 695, 0, RS, III
146.4, 1136, 1, FS, V
146.4, 1877, 2, FS, V
146.4, 1903, 2, FS, V
146.4, 2131, 2, RS, III
146.4, 2642, 3, FS, V
146.4, 2858, 3, RS, III
146.4, 3019, 3, FS, III
146.5, 1110, 1, FS, V
146.5, 2632, 3, FS, V
146.5, 3399, 4, FS, V
146.6, 306, 0, RS, V
146.6, 336, 0, RS, V
146.6, 352, 0, FS, V
146.6, 374, 0, FS, V
146.6, 1113, 1, FS, V
146.6, 1499, 1, FS, III
146.6, 2568, 3, RS, V
146.6, 3408, 4, FS, V
146.7, 319, 0, RS, V
146.7, 366, 0, FS, V
146.7, 367, 0, FS, V
146.7, 373, 0, FS, V
146.7, 377, 0, FS, V
146.7, 2578, 3, RS, V
146.7, 2645, 3, FS, V
146.7, 2651, 3, FS, V
146.7, 2702, 3, IB, V
146.7, 3003, 3, FS, III
146.7, 3043, 3, LTS, III
146.8, 304, 0, RS, V
146.8, 1084, 1, RS, V
146.8, 1146, 1, FS, V
146.8, 2252, 2, FS, III
146.9, 378, 0, FS, V
146.9, 642, 0, RS, III
146.9, 740, 0, FS, III
146.9, 1130, 1, FS, V
146.9, 1484, 1, FS, III
146.9, 1894, 2, FS, V
146.9, 1945, 2, IB, V
146.9, 2163, 2, RS, III
146.9, 3417, 4, FS, V
146.9, 3421, 4, FS, V
147, 384, 0, FS, V
147, 2644, 3, FS, V
147, 2703, 3, IB, V
147, 3426, 4, FS, V
147.1, 1874, 2, FS, V
147.1, 1881, 2, FS, V
147.1, 2658, 3, FS, V
147.1, 3027, 3, FS, III
147.2, 1845, 2, RS, V
147.2, 2638, 3, FS, V
147.2, 2707, 3, IB, V
147.2, 2827, 3, LTS, IV
147.2, 3021, 3, FS, III
147.2, 3398, 4, FS, V
147.3, 350, 0, FS, V
147.3, 354, 0, FS, V
147.3, 355, 0, FS, V
147.3, 359, 0, FS, V
147.3, 361, 0, FS, V
147.3, 370, 0, FS, V
147.3, 638, 0, RS, III
147.3, 724, 0, FS, III
147.3, 2261, 2, FS, III
147.3, 2583, 3, RS, V
147.3, 3403, 4, FS, V
147.3, 3420, 4, FS, V
147.4, 283, 0, RS, V
147.4, 635, 0, RS, III
147.4, 1118, 1, FS, V
147.4, 1170, 1, IB, V
147.4, 2653, 3, FS, V
147.4, 2804, 3, FS, IV
147.5, 273, 0, RS, V
147.5, 363, 0, FS, V
147.5, 381, 0, FS, V
147.5, 558, 0, RS, III
147.5, 1901, 2, FS, V
147.5, 2128, 2, RS, III
147.6, 284, 0, RS, V
147.6, 335, 0, RS, V
147.6, 615, 0, RS, III
147.6, 1115, 1, FS, V
147.6, 1133, 1, FS, V
147.6, 2708, 3, IB, V
147.6, 3010, 3, FS, III
147.6, 3042, 3, LTS, III
147.6, 3405, 4, FS, V
