112.1, 725, 0, FS, III
112.1, 739, 0, FS, III
112.1, 1199, 1, RS, IV
112.1, 2237, 2, FS, III
112.2, 1051, 1, RS, V
112.2, 2248, 2, FS, III
112.2, 2251, 2, FS, III
112.3, 707, 0, FS, III
112.3, 714, 0, FS, III
112.3, 721, 0, FS, III
112.3, 728, 0, FS, III
112.3, 1056, 1, RS, V
112.3, 1492, 1, FS, III
112.3, 2239, 2, FS, III
112.3, 2249, 2, FS, III
112.3, 2254, 2, FS, III
112.3, 2255, 2, FS, III
112.4, 597, 0, RS, III
112.4, 712, 0, FS, III
112.4, 715, 0, FS, III
112.4, 716, 0, FS, III
112.4, 719, 0, FS, III
112.4, 727, 0, FS, III
112.4, 743, 0, FS, III
112.4, 1054, 1, RS, V
112.4, 1063, 1, RS, V
112.4, 1073, 1, RS, V
112.4, 2228, 2, FS, III
112.4, 2240, 2, FS, III
112.4, 2244, 2, FS, III
112.4, 2245, 2, FS, III
112.5, 711, 0, FS, III
112.5, 1171, 1, IB, V
112.5, 1992, 2, RS, IV
112.5, 2159, 2, RS, III
112.5, 2235, 2, FS, III
112.5, 2246, 2, FS, III
112.5, 2265, 2, FS, III
112.6, 723, 0, FS, III
112.6, 731, 0, FS, III
112.6, 732, 0, FS, III
112.6, 734, 0, FS, III
112.6, 738, 0, FS, III
112.6, 740, 0, FS, III
112.6, 1061, 1, RS, V
112.6, 1066, 1, RS, V
112.6, 1070, 1, RS, V
112.6, 1088, 1, RS, V
112.6, 1191, 1, IB, V
112.6, 1192, 1, IB, V
112.6, 2236, 2, FS, III
112.6, 2258, 2, FS, III
112.7, 616, 0, RS, III
112.7, 709, 0, FS, III
112.7, 733, 0, FS, III
112.7, 1049, 1, RS, V
112.7, 1501, 1, FS, III
112.7, 2231, 2, FS, III
112.7, 2232, 2, FS, III
112.7, 2242, 2, FS, III
112.7, 2243, 2, FS, III
112.7, 2259, 2, FS, III
112.7, 2260, 2, FS, III
112.7, 2262, 2, FS, III
112.8, 706, 0, FS, III
112.8, 708, 0, FS, III
112.8, 726, 0, FS, III
112.8, 730, 0, FS, III
112.8, 741, 0, FS, III
112.8, 1083, 1, RS, V
112.8, 1089, 1, RS, V
112.8, 1093, 1, RS, V
112.8, 1184, 1, IB, V
112.8, 1294, 1, LTS, IV
112.8, 1300, 1, LTS, IV
112.8, 2230, 2, FS, III
112.8, 2250, 2, FS, III
112.9, 572, 0, RS, III
112.9, 710, 0, FS, III
112.9, 718, 0, FS, III
112.9, 720, 0, FS, III
112.9, 724, 0, FS, III
112.9, 1046, 1, RS, V
112.9, 1047, 1, RS, V
112.9, 1094, 1, RS, V
112.9, 1098, 1, RS, V
112.9, 1170, 1, IB, V
112.9, 1176, 1, IB, V
112.9, 1182, 1, IB, V
112.9, 2241, 2, FS, III
112.9, 2261, 2, FS, III
113, 691, 0, RS, III
113, 729, 0, FS, III
113, 1038, 1, RS, V
113, 1040, 1, RS, V
113, 1067, 1, RS, V
113, 1177, 1, IB, V
113, 1178, 1, IB, V
113, 1183, 1, IB, V
113, 1497, 1, FS, III
113, 1498, 1, FS, III
113, 2263, 2, FS, III
113.1, 1035, 1, RS, V
113.1, 1036, 1, RS, V
113.1, 1072, 1, RS, V
113.1, 1079, 1, RS, V
113.1, 1174, 1, IB, V
113.1, 1478, 1, FS, III
113.1, 2229, 2, FS, III
113.1, 2238, 2, FS, III
113.1, 2808, 3, FS, IV
113.2, 735, 0, FS, III
113.2, 742, 0, FS, III
113.2, 1037, 1, RS, V
113.2, 1050, 1, RS, V
113.2, 1092, 1, RS, V
113.2, 1099, 1, RS, V
113.2, 1172, 1, IB, V
113.2, 1179, 1, IB, V
113.2, 1189, 1, IB, V
113.2, 2252, 2, FS, III
113.2, 2256, 2, FS, III
113.2, 2814, 3, FS, IV
113.3, 611, 0, RS, III
113.3, 736, 0, FS, III
113.3, 1042, 1, RS, V
113.3, 1043, 1, RS, V
113.3, 1044, 1, RS, V
113.3, 1048, 1, RS, V
113.3, 1055, 1, RS, V
113.3, 1058, 1, RS, V
113.3, 1071, 1, RS, V
113.3, 1076, 1, RS, V
113.3, 1085, 1, RS, V
113.3, 1097, 1, RS, V
113.3, 1101, 1, RS, V
113.3, 1102, 1, RS, V
113.3, 1168, 1, IB, V
113.3, 1175, 1, IB, V
113.3, 1303, 1, LTS, IV
113.3, 2253, 2, FS, III
113.3, 2264, 2, FS, III
113.4, 1045, 1, RS, V
113.4, 1057, 1, RS, V
113.4, 1069, 1, RS, V
113.4, 1084, 1, RS, V
113.4, 1090, 1, RS, V
113.4, 1169, 1, IB, V
113.4, 1187, 1, IB, V
113.4, 1470, 1, FS, III
113.4, 1479, 1, FS, III
113.5, 717, 0, FS, III
113.5, 1041, 1, RS, V
113.5, 1052, 1, RS, V
113.5, 1075, 1, RS, V
113.5, 1082, 1, RS, V
113.5, 1087, 1, RS, V
113.5, 1100, 1, RS, V
113.5, 1180, 1, IB, V
