117.7, 364, 0, FS, V
117.7, 1174, 1, IB, V
117.7, 1187, 1, IB, V
117.7, 1329, 1, RS, III
117.7, 1338, 1, RS, III
117.7, 1344, 1, RS, III
117.7, 1371, 1, RS, III
117.7, 1397, 1, RS, III
117.7, 1399, 1, RS, III
117.7, 1446, 1, RS, III
117.7, 1452, 1, RS, III
117.7, 1889, 2, FS, V
117.7, 1906, 2, FS, V
117.7, 2258, 2, FS, III
117.7, 2259, 2, FS, III
117.8, 368, 0, FS, V
117.8, 1163, 1, IB, V
117.8, 1172, 1, IB, V
117.8, 1185, 1, IB, V
117.8, 1311, 1, RS, III
117.8, 1313, 1, RS, III
117.8, 1370, 1, RS, III
117.8, 1381, 1, RS, III
117.8, 1387, 1, RS, III
117.8, 1420, 1, RS, III
117.8, 1448, 1, RS, III
117.8, 1467, 1, RS, III
117.8, 1887, 2, FS, V
117.8, 2241, 2, FS, III
117.8, 2255, 2, FS, III
117.8, 3014, 3, FS, III
117.9, 372, 0, FS, V
117.9, 374, 0, FS, V
117.9, 384, 0, FS, V
117.9, 733, 0, FS, III
117.9, 1166, 1, IB, V
117.9, 1190, 1, IB, V
117.9, 1325, 1, RS, III
117.9, 1345, 1, RS, III
117.9, 1354, 1, RS, III
117.9, 1395, 1, RS, III
117.9, 1455, 1, RS, III
117.9, 1465, 1, RS, III
117.9, 1883, 2, FS, V
117.9, 1884, 2, FS, V
117.9, 1886, 2, FS, V
117.9, 1888, 2, FS, V
117.9, 1901, 2, FS, V
117.9, 3010, 3, FS, III
117.9, 3011, 3, FS, III
118, 361, 0, FS, V
118, 369, 0, FS, V
118, 1182, 1, IB, V
118, 1184, 1, IB, V
118, 1333, 1, RS, III
118, 1357, 1, RS, III
118, 1382, 1, RS, III
118, 1403, 1, RS, III
118, 1425, 1, RS, III
118, 1444, 1, RS, III
118, 1890, 2, FS, V
118, 1893, 2, FS, V
118, 1894, 2, FS, V
118, 1897, 2, FS, V
118, 1899, 2, FS, V
118, 1903, 2, FS, V
118, 2268, 2, FS, III
118, 3028, 3, FS, III
118.1, 366, 0, FS, V
118.1, 367, 0, FS, V
118.1, 376, 0, FS, V
118.1, 378, 0, FS, V
118.1, 380, 0, FS, V
118.1, 1183, 1, IB, V
118.1, 1339, 1, RS, III
118.1, 1374, 1, RS, III
118.1, 1402, 1, RS, III
118.1, 1407, 1, RS, III
118.1, 1418, 1, RS, III
118.1, 1429, 1, RS, III
118.1, 1892, 2, FS, V
118.1, 1902, 2, FS, V
118.1, 2256, 2, FS, III
118.1, 2263, 2, FS, III
118.2, 373, 0, FS, V
118.2, 377, 0, FS, V
118.2, 722, 0, FS, III
118.2, 741, 0, FS, III
118.2, 1077, 1, RS, V
118.2, 1175, 1, IB, V
118.2, 1192, 1, IB, V
118.2, 1308, 1, RS, III
118.2, 1318, 1, RS, III
118.2, 1355, 1, RS, III
118.2, 1364, 1, RS, III
118.2, 1366, 1, RS, III
118.2, 1392, 1, RS, III
118.2, 1422, 1, RS, III
118.2, 1441, 1, RS, III
118.2, 1896, 2, FS, V
118.2, 1900, 2, FS, V
118.2, 3016, 3, FS, III
118.3, 732, 0, FS, III
118.3, 1180, 1, IB, V
118.3, 1181, 1, IB, V
118.3, 1186, 1, IB, V
118.3, 1353, 1, RS, III
118.3, 1372, 1, RS, III
118.3, 1380, 1, RS, III
118.3, 1394, 1, RS, III
118.3, 1463, 1, RS, III
